@id,crossing,highway,traffic_signals,latitude,longitude,@relations,stop,traffic_calming,direction,bus,public_transport,shelter,traffic_signals:direction,kerb
node/26159210,traffic_signals,traffic_signals,signal,-34.0426019,18.4637554,,,,,,,,,
node/34001829,,traffic_signals,,-34.0508063,18.4618921,,,,,,,,,
node/34002078,,,,-34.0540252,18.4612651,[object Object],,,,,,,,
node/263838378,,give_way,,-34.0404922,18.4501683,,,,,,,,,
node/263838400,,,,-34.0401222,18.4499415,[object Object],,,,,,,,
node/263838447,,stop,,-34.0414709,18.4555666,,,,,,,,,
node/263838871,,give_way,,-34.0409193,18.4505898,,,,,,,,,
node/282223918,,stop,,-34.0460664,18.4546571,,all,,,,,,,
node/289421381,,give_way,,-34.0407862,18.4499008,,,,,,,,,
node/289421405,,stop,,-34.0413331,18.4486846,,minor,,,,,,,
node/289421616,,give_way,,-34.041208,18.4503321,,,,,,,,,
node/289422535,,stop,,-34.0464005,18.4570979,,,,,,,,,
node/303195171,,stop,,-34.0454841,18.442588,,minor,,,,,,,
node/303859715,,stop,,-34.0499937,18.4423499,,minor,,,,,,,
node/303859718,,stop,,-34.0499239,18.4428089,,minor,,,,,,,
node/303859767,,stop,,-34.0482526,18.4440562,,minor,,,,,,,
node/303877963,,stop,,-34.044197,18.4575416,,,,,,,,,
node/303887562,,stop,,-34.0447266,18.449747,,all,,,,,,,
node/303887567,,,,-34.0478486,18.4515591,,,bump,,,,,,
node/303887579,,,,-34.0487467,18.4520261,,,bump,,,,,,
node/303887616,,stop,,-34.0526291,18.4562149,,,,,,,,,
node/303887630,,,,-34.0556745,18.4598811,,,bump,,,,,,
node/303887664,,stop,,-34.0450076,18.448799,,all,,,,,,,
node/303887725,,,,-34.0428669,18.4460618,,,bump,,,,,,
node/303887760,,,,-34.0478846,18.4505564,,,bump,,,,,,
node/303887767,,,,-34.0490817,18.4510499,,,bump,,,,,,
node/303887772,,,,-34.049661,18.4513977,,,bump,,,,,,
node/303887785,,,,-34.0507691,18.4529715,,,bump,,,,,,
node/303888297,,stop,,-34.051206,18.4502012,,,,forward,,,,,
node/303888357,,stop,,-34.0486232,18.4537069,,all,,,,,,,
node/305465140,,,,-34.04923,18.4638388,,,bump,,,,,,
node/305465171,,stop,,-34.0461168,18.4646323,,,,,,,,,
node/1833398995,,stop,,-34.0438642,18.4550976,,all,,,,,,,
node/1833399023,,stop,,-34.050334,18.4585697,,,,,,,,,
node/4279103358,,bus_stop,,-34.0513601,18.4616835,,,,,yes,platform,yes,,
node/6031965043,traffic_signals,traffic_signals,signal,-34.0424525,18.4636785,,,,,,,,backward,
node/6031965044,traffic_signals,traffic_signals,signal,-34.0425181,18.4634813,,,,,,,,,
node/6031965045,traffic_signals,traffic_signals,signal,-34.0427306,18.4636142,,,,,,,,forward,
node/6031965049,traffic_signals,traffic_signals,signal,-34.0512567,18.458072,,,,,,,,,
node/6031965050,traffic_signals,traffic_signals,signal,-34.0510433,18.4579659,,,,,,,,,
node/6031965051,traffic_signals,traffic_signals,signal,-34.0510779,18.4581199,,,,,,,,,
node/6031965052,traffic_signals,traffic_signals,signal,-34.0512373,18.4579352,,,,,,,,,
node/6031965053,uncontrolled,traffic_signals,signal,-34.0528933,18.4614824,,,,,,,,,
node/6031965054,traffic_signals,traffic_signals,signal,-34.0529561,18.4613669,,,,,,,,,
node/6031965055,uncontrolled,traffic_signals,signal,-34.0531691,18.4614329,,,,,,,,,
node/6433352123,,,,-34.0462875,18.44976,,,bump,,,,,,
node/6436659505,,stop,,-34.0489901,18.4509233,,,,forward,,,,,
node/6436659508,,stop,,-34.0472962,18.4511953,,,,forward,,,,,
node/6436659509,,stop,,-34.0472364,18.4513827,,,,backward,,,,,
node/6436659510,,stop,,-34.0468324,18.4498621,,,,forward,,,,,
node/6436659511,,stop,,-34.046938,18.4499295,,,,forward,,,,,
node/6436987795,,stop,,-34.0391936,18.4549129,,,,,,,,,
node/6437194920,traffic_signals,traffic_signals,,-34.0433839,18.4514482,,,,,,,,,
node/6438131288,,,,-34.0470253,18.4604906,,,bump,,,,,,
node/6439161039,,,,-34.050338,18.4646285,,,bump,,,,,,
node/6440650957,traffic_signals,traffic_signals,,-34.0389985,18.4644061,,,,,,,,,flush
node/6440650958,traffic_signals,traffic_signals,,-34.0447785,18.4631547,,,,,,,,,
node/6440650960,,,,-34.04359,18.4621378,,,bump,,,,,,
node/6440650961,,,,-34.0392425,18.4629896,,,bump,,,,,,
node/6440650962,,,,-34.0391111,18.4619034,,,bump,,,,,,
node/6440650969,,,,-34.0386453,18.4636554,,,bump,,,,,,
node/6440650970,,,,-34.0385374,18.4625886,,,bump,,,,,,
node/6440658198,,give_way,,-34.0381048,18.4591738,,,,backward,,,,,
node/6440726237,,,,-34.0493688,18.4526142,,,bump,,,,,,
node/6440726242,,,,-34.0550308,18.4588576,,,bump,,,,,,
node/6440726253,,,,-34.0540064,18.4551122,,,bump,,,,,,
node/6440726259,,,,-34.0439578,18.4476814,,,bump,,,,,,
node/6440726261,,,,-34.0428018,18.4489478,,,bump,,,,,,
node/6443974890,traffic_signals,traffic_signals,,-34.0567774,18.4607061,,,,,,,,,
node/6443996685,,bus_stop,,-34.0437881,18.4632853,,,,,yes,platform,yes,,
node/6443996686,,bus_stop,,-34.055331,18.460882,,,,,yes,platform,yes,,
node/6459561572,,stop,,-34.0490358,18.4587582,,,,forward,,,,,
node/6459561579,,stop,,-34.0466689,18.459059,,,,forward,,,,,
node/6459561581,,,,-34.0468225,18.4590753,,,bump,,,,,,
node/6469974489,,,,-34.0456919,18.4595419,,,bump,,,,,,
node/6581585540,,give_way,,-34.0466307,18.4433584,,,,forward,,,,,
node/6721983339,,,,-34.0510601,18.4622123,,,bump,,,,,,
node/6721983340,,,,-34.0510313,18.4623623,,,bump,,,,,,
node/7549159791,,,,-34.0474927,18.4643195,,,bump,,,,,,
node/7549159792,,,,-34.0481588,18.4641681,,,bump,,,,,,